"ngram" "target" "count"
"1" "a" "great" 17775
"2" "aa" "batteries" 6
"3" "aaa" "rating" 4
"4" "aaahhhhh" "oohh" 3
"5" "aaasmtg" "cornelia" 4
"6" "aac" "u" 3
"7" "aadhaar" "card" 3
"8" "aain" "retweet" 3
"9" "aam" "online" 13
"10" "aamer" "anwar" 5
"11" "aamir" "khan" 8
"12" "aan" "zee" 4
"13" "aapc" "welcome" 3
"14" "aapl" "via" 3
"15" "aardman" "animations" 3
"16" "aarhus" "denmark" 3
"17" "aaron" "rodgers" 105
"18" "aarp" "card" 9
"19" "aas" "rdcentury" 15
"20" "aau" "game" 7
"21" "aavg" "looking" 6
"22" "ab" "initio" 18
"23" "aba" "update" 4
"24" "abad" "santos" 3
"25" "abandon" "ship" 5
"26" "abandoned" "house" 6
"27" "abandonment" "issues" 9
"28" "abaya" "s" 4
"29" "abba" "father" 10
"30" "abbas" "kiarostami" 5
"31" "abbaye" "de" 5
"32" "abbey" "road" 13
"33" "abbie" "hoffman" 3
"34" "abbot" "kinney" 13
"35" "abbott" "s" 12
"36" "abbottabad" "compound" 7
"37" "abbreviated" "version" 5
"38" "abby" "s" 28
"39" "abc" "s" 58
"40" "abcnews" "com" 3
"41" "abd" "al" 4
"42" "abdc" "stage" 10
"43" "abdel" "moneim" 4
"44" "abdominal" "pain" 8
"45" "abdu" "l" 52
"46" "abduction" "convention" 4
"47" "abdul" "aziz" 23
"48" "abdullah" "said" 8
"49" "abdur" "raheem" 3
"50" "abe" "lincoln" 26
"51" "abeachdude" "orlando" 4
"52" "abel" "s" 5
"53" "abercrombie" "fitch" 10
"54" "aberdeen" "proving" 3
"55" "abert" "s" 3
"56" "abhorrent" "apartheid" 4
"57" "abi" "waqqas" 4
"58" "abiding" "citizen" 8
"59" "abigail" "s" 8
"60" "abilene" "texas" 4
"61" "abilities" "j" 5
"62" "ability" "can" 4
"63" "abita" "amber" 3
"64" "abject" "poverty" 12
"65" "able" "bodied" 37
"66" "ableton" "live" 7
"67" "abnormal" "status" 11
"68" "abnormally" "high" 4
"69" "aboard" "rt" 7
"70" "abodah" "zarah" 4
"71" "abode" "lovers" 6
"72" "abolished" "slavery" 3
"73" "abominable" "dr" 4
"74" "abominations" "like" 3
"75" "aboriginal" "game" 6
"76" "abort" "mission" 3
"77" "aborted" "fetal" 3
"78" "abortion" "clinic" 11
"79" "abou" "diaby" 3
"80" "about" "minutes" 1264
"81" "above" "pp" 389
"82" "abq" "s" 30
"83" "abqthemag" "com" 3
"84" "abraham" "lincoln" 174
"85" "abram" "s" 4
"86" "abrams" "creek" 6
"87" "abridged" "version" 7
"88" "abroad" "fair" 10
"89" "abrupt" "end" 10
"90" "abruptly" "cut" 3
"91" "abs" "cbn" 15
"92" "absence" "makes" 8
"93" "absent" "minded" 9
"94" "absentee" "ballots" 7
"95" "absolut" "cocktails" 3
"96" "absolute" "favorite" 60
"97" "absolutely" "love" 241
"98" "absoluteness" "version" 3
"99" "absolutley" "nothing" 3
"100" "absolutly" "love" 4
"101" "absorb" "cholesterol" 4
"102" "absorbed" "water" 3
"103" "absorbs" "quickly" 3
"104" "abstinence" "education" 3
"105" "abstract" "art" 11
"106" "absurd" "things" 6
"107" "absurdly" "high" 4
"108" "abt" "u" 15
"109" "abu" "dhabi" 28
"110" "abul" "qaqa" 5
"111" "abundance" "appears" 5
"112" "abundant" "life" 18
"113" "abundantly" "clear" 22
"114" "abuse" "prevention" 18
"115" "abused" "children" 14
"116" "abuser" "s" 5
"117" "abusing" "children" 3
"118" "abusive" "relationship" 9
"119" "abv" "beer" 8
"120" "ac" "dc" 35
"121" "acacia" "trees" 3
"122" "academic" "year" 30
"123" "academically" "adrift" 5
"124" "academy" "award" 53
"125" "acai" "berry" 9
"126" "acc" "championship" 8
"127" "accb" "g" 3
"128" "accelerated" "nursing" 4
"129" "accelerating" "change" 3
"130" "acceleration" "settings" 5
"131" "accelerator" "mass" 4
"132" "accent" "lol" 8
"133" "accents" "die" 4
"134" "accept" "jesus" 15
"135" "acceptable" "way" 9
"136" "acceptance" "speech" 37
"137" "accepted" "offer" 10
"138" "accepting" "applications" 29
"139" "accepts" "credit" 4
"140" "access" "memory" 18
"141" "accessed" "via" 4
